Gene ID	Gene Name	Description	GO	KEGG	NFkB	ReactomePathway	ReactomeReaction
RPL17	RPL17	Ribosomal protein L17	GO:0003723 GO:0003735 GO:0005622 GO:0006412 GO:0015934 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL3	RPL3	Ribosomal protein L3	GO:0003723 GO:0003735 GO:0005622 GO:0005730 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
EEF1G	EEF1G	Eukaryotic translation elongation factor 1 gamma	GO:0003746 GO:0005515 GO:0005622 GO:0005853 GO:0006412 GO:0006414 	 	 	72766 74160 156842 	156910 156913 
EEF2	EEF2	Eukaryotic translation elongation factor 2	GO:0000166 GO:0003746 GO:0005525 GO:0006412 	 	 	72766 74160 156842 156902 	156915 156930 
RPS14	RPS14	Ribosomal protein S14	GO:0000028 GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 GO:0030490 GO:0045892 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPS6	RPS6	Ribosomal protein S6	GO:0003735 GO:0005515 GO:0005622 GO:0005634 GO:0005843 GO:0006412 GO:0042593 	hsa03010 hsa04150 hsa04910 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 74751 74752 77389 109703 109704 112399 156827 156842 156902 157279 165159 165720 166207 166208 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 165726 
RPS7	RPS7	Ribosomal protein S7	GO:0003735 GO:0005515 GO:0005622 GO:0005730 GO:0005840 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL35A	RPL35A	Ribosomal protein L35a	GO:0000049 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS2	RPS2	Ribosomal protein S2	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 GO:0015935 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPS18	RPS18	Ribosomal protein S18	GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 GO:0019843 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPS16	RPS16	Ribosomal protein S16	GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL19	RPL19	Ribosomal protein L19	GO:0003735 GO:0005622 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL31	RPL31	Ribosomal protein L31	GO:0003735 GO:0005622 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS5	RPS5	Ribosomal protein S5	GO:0003723 GO:0003735 GO:0005622 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
LAMR1	LAMR1	none	 	 	 	 	 
RPL29	RPL29	Ribosomal protein L29	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 GO:0007566 GO:0008201 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL18A	RPL18A	Ribosomal protein L18a	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS21	RPS21	Ribosomal protein S21	GO:0003735 GO:0005554 GO:0005622 GO:0005840 GO:0005843 GO:0006412 GO:0008283 GO:0008372 GO:0030154 GO:0043022 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL38	RPL38	Ribosomal protein L38	GO:0003735 GO:0005622 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL12	RPL12	Ribosomal protein L12	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS28	RPS28	Ribosomal protein S28	GO:0003735 GO:0005622 GO:0005843 GO:0006412 	hsa03010 	p50_(+LPS)	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPS10	RPS10	Ribosomal protein S10	GO:0003723 GO:0003735 GO:0005843 GO:0006412 GO:0030529 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL9	RPL9	Ribosomal protein L9	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS11	RPS11	Ribosomal protein S11	GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 GO:0019843 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL32	RPL32	Ribosomal protein L32	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS19	RPS19	Ribosomal protein S19	GO:0003723 GO:0003735 GO:0005515 GO:0005622 GO:0005730 GO:0005840 GO:0005843 GO:0006412 GO:0007516 GO:0009991 GO:0030218 GO:0051272 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL28	RPL28	Ribosomal protein L28	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL7A	RPL7A	Ribosomal protein L7a	GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0042254 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
GNB2L1	GNB2L1	"Guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"	GO:0003924 GO:0005080 GO:0005102 GO:0005737 GO:0005834 GO:0007165 GO:0007205 	 	 	 	 
RPS3	RPS3	Ribosomal protein S3	GO:0003676 GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL13A	RPL13A	Ribosomal protein L13a	GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0015934 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156823 156826 156832 156907 156912 156915 156923 
RPL8	RPL8	Ribosomal protein L8	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 GO:0019843 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL10A	RPL10A	Ribosomal protein L10a	GO:0003735 GO:0005622 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS27A	RPS27A	Ribosomal protein S27a	GO:0003735 GO:0005515 GO:0005622 GO:0005634 GO:0005840 GO:0006412 GO:0006464 GO:0007049 GO:0007411 GO:0016567 GO:0030433 GO:0030528 GO:0042062 GO:0045941 GO:0048167 	hsa03010 	 	68827 68867 68874 68949 69002 69017 69052 69229 69239 69242 69278 69298 69300 69304 69306 69601 69610 69613 69615 69620 72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 75815 156827 156842 156902 157279 174048 174084 174113 174143 174154 	68712 68825 68946 68947 68948 69015 69016 69598 69600 72619 72621 72671 72672 72673 72676 72691 72697 75824 75825 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 174057 174058 174104 174105 174144 174157 174159 174195 174202 174203 1
RPS23	RPS23	Ribosomal protein S23	GO:0003735 GO:0005622 GO:0005843 GO:0043037 GO:0045182 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL11	RPL11	Ribosomal protein L11	GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0019843 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS8	RPS8	Ribosomal protein S8	GO:0003735 GO:0005622 GO:0005843 GO:0006412 GO:0030529 	hsa03010 	p65_(+LPS)	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL6	RPL6	Ribosomal protein L6	GO:0003677 GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006355 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL35	RPL35	Ribosomal protein L35	GO:0003729 GO:0003735 GO:0005622 GO:0005730 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
SLC25A6	SLC25A6	"Solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"	GO:0005215 GO:0005471 GO:0005488 GO:0005739 GO:0005743 GO:0005744 GO:0006810 GO:0006839 GO:0006915 GO:0016020 GO:0016021 	hsa04020 	 	162906 162909 168253 168254 168277 176033 180897 	168878 180905 
RPS3A	RPS3A	Ribosomal protein S3A	GO:0003735 GO:0005515 GO:0005622 GO:0005634 GO:0005829 GO:0005840 GO:0005843 GO:0006412 GO:0006413 GO:0006917 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL34	RPL34	Ribosomal protein L34	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL23	RPL23	Ribosomal protein L23	GO:0003735 GO:0005622 GO:0005730 GO:0005840 GO:0006412 GO:0006610 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPS24	RPS24	Ribosomal protein S24	GO:0003723 GO:0003735 GO:0005622 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL27A	RPL27A	Ribosomal protein L27a	GO:0003723 GO:0003735 GO:0005622 GO:0005840 GO:0005842 GO:0006412 	hsa03010 	c-Rel_(-LPS) c+Rel_(+LPS)	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
PTMA	PTMA	"Prothymosin, alpha (gene sequence 28)"	GO:0000074 GO:0005634 GO:0006350 GO:0007275 	 	 	 	 
HNRPA1	HNRPA1	Heterogeneous nuclear ribonucleoprotein A1	GO:0000166 GO:0000398 GO:0003676 GO:0003723 GO:0005515 GO:0005634 GO:0005654 GO:0005681 GO:0005737 GO:0006406 GO:0006810 GO:0030529 GO:0030530 	 	 	72163 72172 72203 74160 75071 75983 76043 112168 112295 	72103 72107 72124 72127 72130 72139 72143 72160 156661 
NACA	NACA	Nascent-polypeptide-associated complex alpha polypeptide	GO:0003677 GO:0005634 GO:0005737 GO:0005854 GO:0006350 GO:0006412 GO:0015031 	 	 	 	 
PTTG1IP	PTTG1IP	Pituitary tumor-transforming 1 interacting protein	GO:0005554 GO:0005634 GO:0005737 GO:0006606 GO:0007275 GO:0016020 GO:0016021 	 	 	 	 
YWHAH	YWHAH	"Tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, eta polypeptide"	GO:0003779 GO:0005159 GO:0005737 GO:0006469 GO:0006713 GO:0006886 GO:0007010 GO:0007088 GO:0008426 GO:0009966 GO:0016563 GO:0019904 GO:0035259 GO:0042921 GO:0043066 GO:0045664 GO:0045941 GO:0048167 GO:0050774 	hsa04110 	 	 	 
MYH9	MYH9	"Myosin, heavy polypeptide 9, non-muscle"	GO:0000166 GO:0000904 GO:0003774 GO:0003779 GO:0005516 GO:0005524 GO:0005737 GO:0005913 GO:0007605 GO:0008360 GO:0016337 GO:0016459 	hsa04530 hsa04810 	 	 	 
PSMB1	PSMB1	"Proteasome (prosome, macropain) subunit, beta type, 1"	GO:0004298 GO:0005515 GO:0005829 GO:0005839 GO:0006511 	hsa03050 	 	68827 68867 68874 68949 69002 69017 69052 69229 69239 69242 69278 69300 69304 69306 69601 69610 69613 69615 69620 75815 174084 174113 174143 174154 174178 174184 176408 176409 176814 	68825 68948 69016 69600 75825 174058 174105 174202 174203 174255 
TRIP12	TRIP12	Thyroid hormone receptor interactor 12	GO:0004842 GO:0005488 GO:0005622 GO:0005829 GO:0006512 GO:0008372 GO:0016567 GO:0016874 GO:0043234 GO:0046966 	 	 	 	 
GRN	GRN	Granulin	GO:0001835 GO:0004623 GO:0005125 GO:0005509 GO:0005576 GO:0005615 GO:0005739 GO:0007165 GO:0007267 GO:0007566 GO:0008083 GO:0008283 GO:0008284 GO:0016042 GO:0050679 	 	 	 	 
PRDX1	PRDX1	Peroxiredoxin 1	GO:0001501 GO:0008283 GO:0016491 GO:0051920 	 	 	 	 
GSTO1	GSTO1	Glutathione S-transferase omega 1	GO:0000004 GO:0004364 GO:0005737 GO:0008152 GO:0016656 GO:0016740 	hsa00480 hsa00980 	 	140192 156580 156590 	176054
NPC2	NPC2	"Niemann-Pick disease, type C2"	GO:0005615 GO:0019747 GO:0019899 GO:0042632 	 	 	 	 
ALDOA	ALDOA	"Aldolase A, fructose-bisphosphate"	GO:0004332 GO:0006000 GO:0006096 GO:0006941 GO:0008152 GO:0016829 	hsa00010 hsa00030 hsa00051 hsa00710 	 	 	71495 71496 
CSTB	CSTB	Cystatin B (stefin B)	GO:0004869 GO:0005622 GO:0005634 GO:0008344 	 	 	 	 
VIM	VIM	Vimentin	GO:0000004 GO:0005198 GO:0005200 GO:0005515 GO:0005737 GO:0005856 GO:0005882 GO:0006928 GO:0045098 GO:0045103 	hsa01430 	 	 	 
TMSB4X	TMSB4X	"Thymosin, beta 4, X-linked"	GO:0003779 GO:0005737 GO:0005856 GO:0007010 	hsa04810 	 	 	 
TPT1	TPT1	"Tumor protein, translationally-controlled 1"	GO:0005509 GO:0005554 GO:0005615 GO:0005737 GO:0005771 GO:0006816 GO:0006874 GO:0006916 GO:0042981 GO:0045298 	 	 	 	 
EEF1A1	EEF1A1	Eukaryotic translation elongation factor 1 alpha 1	GO:0000166 GO:0003746 GO:0003924 GO:0005515 GO:0005525 GO:0005737 GO:0006412 GO:0006414 	 	 	72766 74160 156842 156902 	156907 156908 156909 156913 156915 156923 
CST3	CST3	Cystatin C (amyloid angiopathy and cerebral hemorrhage)	GO:0004869 GO:0005615 GO:0042803 	 	 	 	 
GAPD	GAPD	none	 	 	 	 	 
ACTB	ACTB	"Actin, beta"	GO:0000166 GO:0005200 GO:0005515 GO:0005524 GO:0005856 GO:0005884 GO:0035267 	hsa01430 hsa04510 hsa04520 hsa04530 hsa04670 hsa04810 hsa05130 hsa05131 	 	 	 
CAPG	CAPG	"Capping protein (actin filament), gelsolin-like"	GO:0003779 GO:0005634 GO:0006461 GO:0008290 GO:0009613 GO:0030031 GO:0051016 	 	 	 	 
HLA-A	HLA-A	"Major histocompatibility complex, class I, A"	GO:0005515 GO:0005887 GO:0006968 GO:0009596 GO:0016020 GO:0016021 GO:0019882 GO:0019883 GO:0019885 GO:0030106 GO:0042612 	hsa04514 hsa04612 hsa04650 hsa04940 	 	 	 
GM2A	GM2A	GM2 ganglioside activator	GO:0004563 GO:0005615 GO:0005739 GO:0005764 GO:0006629 GO:0006687 GO:0006689 GO:0007611 GO:0008047 GO:0009313 GO:0019377 GO:0019915 GO:0030149 GO:0030290 GO:0050877 GO:0050885 	 	 	 	 
TMSB10	TMSB10	"Thymosin, beta 10"	GO:0003779 GO:0005737 GO:0005856 GO:0007010 	 	 	 	 
ENO1	ENO1	"Enolase 1, (alpha)"	GO:0000015 GO:0000287 GO:0003677 GO:0004634 GO:0005634 GO:0006096 GO:0006350 GO:0006355 GO:0008243 GO:0016829 	hsa00010 hsa00400 	 	 	70494 71660 
CD63	CD63	CD63 molecule	GO:0005764 GO:0005765 GO:0005770 GO:0005886 GO:0005887 GO:0010008 GO:0016021 	 	 	75178 76005 109582 114607 114608 	114691
ANXA2	ANXA2	Annexin A2	GO:0001501 GO:0004859 GO:0005509 GO:0005544 GO:0005625 GO:0005886 GO:0008092 	 	 	 	 
SQSTM1	SQSTM1	Sequestosome 1	GO:0003712 GO:0005634 GO:0005829 GO:0006915 GO:0006950 GO:0006955 GO:0007242 GO:0008104 GO:0008270 GO:0016197 GO:0019901 GO:0030154 GO:0042169 GO:0043122 GO:0043130 GO:0045944 GO:0046872 	 	p50_(-LPS)	 	 
IFNGR2	IFNGR2	Interferon gamma receptor 2 (interferon gamma transducer 1)	GO:0004872 GO:0004896 GO:0004906 GO:0005615 GO:0005887 GO:0007166 GO:0009615 GO:0009618 GO:0016020 GO:0016021 	hsa04060 hsa04630 hsa04650 	 	 	 
CD99	CD99	CD99 molecule	GO:0005515 GO:0005737 GO:0005886 GO:0005887 GO:0007155 	hsa04514 hsa04670 	 	 	 
MSN	MSN	Moesin	GO:0001931 GO:0005102 GO:0005200 GO:0005737 GO:0005856 GO:0005886 GO:0006928 GO:0008092 GO:0016323 GO:0016324 	hsa04670 hsa04810 	 	 	 
MVP	MVP	Major vault protein	GO:0005509 GO:0005634 GO:0005737 GO:0030529 GO:0042493 	 	 	 	 
RHOG	RHOG	"Ras homolog gene family, member G (rho G)"	GO:0000074 GO:0000166 GO:0003924 GO:0005515 GO:0005525 GO:0005622 GO:0007266 GO:0008284 GO:0016020 	 	 	 	 
FSCN1	FSCN1	"Fascin homolog 1, actin-bundling protein (Strongylocentrotus purpuratus)"	GO:0003779 GO:0008283 GO:0015629 GO:0030036 GO:0030175 GO:0030674 GO:0051015 GO:0051017 	 	 	 	 
ANPEP	ANPEP	"Alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)"	GO:0001525 GO:0004177 GO:0004179 GO:0004872 GO:0005793 GO:0005887 GO:0006508 GO:0008237 GO:0008270 GO:0016021 GO:0030154 GO:0046872 	hsa00480 hsa04640 	 	 	 
CTSL	CTSL	Cathepsin L	GO:0004197 GO:0004217 GO:0005576 GO:0005764 GO:0006508 	hsa04612 	 	 	 
CDKN1A	CDKN1A	"Cyclin-dependent kinase inhibitor 1A (p21, Cip1)"	GO:0000074 GO:0000079 GO:0000307 GO:0004672 GO:0004861 GO:0005515 GO:0005634 GO:0006974 GO:0007049 GO:0007050 GO:0008270 GO:0008285 GO:0008629 GO:0009411 GO:0016301 GO:0030332 GO:0030890 GO:0043066 GO:0043071 GO:0045736 GO:0046872 	hsa04110 	c+Rel_(+LPS)	69231 69236 69278 	69213 69223 69227 141299 
IL4R	IL4R	Interleukin 4 receptor	GO:0004872 GO:0004896 GO:0004913 GO:0005057 GO:0005515 GO:0005615 GO:0005887 GO:0006955 GO:0007165 GO:0016020 	hsa04060 hsa04630 hsa04640 	 	 	 
CD81	CD81	CD81 molecule	GO:0000187 GO:0005515 GO:0005887 GO:0006661 GO:0008104 GO:0008284 GO:0016020 GO:0016021 GO:0030307 GO:0030384 GO:0030890 GO:0043128 GO:0046718 GO:0046813 GO:0050731 	hsa04662 	 	 	 
PSAP	PSAP	Prosaposin (variant Gaucher disease and variant metachromatic leukodystrophy)	GO:0004098 GO:0004336 GO:0004348 GO:0004557 GO:0004565 GO:0004767 GO:0005615 GO:0005739 GO:0005764 GO:0006629 GO:0006687 GO:0006869 GO:0007040 GO:0008047 GO:0008289 GO:0016021 	 	 	 	 
CTSD	CTSD	Cathepsin D (lysosomal aspartyl peptidase)	GO:0004192 GO:0004194 GO:0005576 GO:0005739 GO:0005764 GO:0006508 GO:0008233 	 	 	 	 
FTL	FTL	"Ferritin, light polypeptide"	GO:0006826 GO:0006879 GO:0008043 GO:0008199 GO:0042802 GO:0046872 	 	 	 	 
RPS29	RPS29	Ribosomal protein S29	GO:0003735 GO:0005622 GO:0005840 GO:0005843 GO:0006412 	hsa03010 	 	72613 72649 72662 72689 72695 72702 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72619 72621 72671 72672 72673 72676 72691 72697 141671 141673 141691 156808 156823 156907 156912 156915 156923 157849 
RPL41	RPL41	Ribosomal protein L41	GO:0003735 GO:0005840 GO:0006412 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
RPL37A	RPL37A	Ribosomal protein L37a	GO:0003735 GO:0005622 GO:0005840 GO:0006412 GO:0008270 GO:0046872 	hsa03010 	 	72613 72689 72706 72737 72764 72766 74160 156827 156842 156902 157279 	72671 72672 72673 141671 141673 141691 156826 156907 156912 156915 156923 
CFL1	CFL1	Cofilin 1 (non-muscle)	GO:0003779 GO:0005515 GO:0005622 GO:0005634 GO:0005737 GO:0005856 GO:0006916 GO:0007266 GO:0030036 	hsa04360 hsa04810 	 	 	 
SCA2	SCA2	none	 	 	 	 	 
RPS6KA1	RPS6KA1	"Ribosomal protein S6 kinase, 90kDa, polypeptide 1"	GO:0000166 GO:0000287 GO:0004672 GO:0004674 GO:0004713 GO:0005524 GO:0005819 GO:0006468 GO:0007165 GO:0016740 	hsa04010 hsa04150 hsa04720 	 	 	 
SLA	SLA	Src-like-adaptor	GO:0005070 GO:0007242 	 	 	 	 
THAP11	THAP11	THAP domain containing 11	GO:0003677 GO:0005634 GO:0008270 GO:0046872 	 	 	 	 
NUP214	NUP214	Nucleoporin 214kDa	GO:0000074 GO:0005215 GO:0005487 GO:0005515 GO:0005554 GO:0005634 GO:0005643 GO:0006406 GO:0006606 GO:0006611 GO:0006810 GO:0015288 GO:0016021 GO:0019867 	 	 	162587 162599 162906 162909 165054 168254 168255 168271 176033 177243 180910 	165043 165047 168337 180622 
